"","df","AIC","deltaAIC","R2","ModelName"
"1",3,355.456966406744,27.9595471654187,-0.0067911709352535,"M"
"2",15,333.401443928191,5.90402468686563,0.20256176048361,"region"
"3",9,365.809161874981,38.3117426336556,-0.0394900102638638,"fishtype"
"4",16,334.230553885964,6.7331346446386,0.202885376426822,"region_M"
"5",10,367.808968552073,40.3115493107475,-0.0472459826185119,"fishtype_M"
"6",22,330.502520616526,3.00510137520013,0.250788395391594,"region_fishtype"
"7",23,331.452286089674,3.95486684834805,0.250124148474594,"all"
"8",30,327.537862563916,0.0404433225904768,0.297795923010974,"fishtype_M_inter"
"9",33,327.497419241326,0,0.308646372759236,"region_M_inter"
"10",38,328.610469843586,1.11305060226016,0.319657694235383,"fishtype_region_inter"
