"","df","AIC","deltaAIC","R2","ModelName"
"1",3,632.795883270822,72.7885587190226,-0.00392671749001505,"M"
"2",19,587.988729203887,27.9814046520873,0.208479212159547,"region"
"3",9,629.699349302314,69.6920247505142,0.0310636331104782,"fishtype"
"4",15,624.361621093986,64.3542965421864,0.0725257516539892,"taxagroup"
"5",20,573.865169685594,13.8578451337943,0.254174948448202,"region_M"
"6",10,627.973274660856,67.9659501090565,0.04131614599647,"fishtype_M"
"7",16,625.124697843469,65.117373291669,0.0731711848712434,"taxagroup_M"
"8",26,570.50321255909,10.4958880072904,0.279642695165956,"region_fishtype"
"9",32,569.538240396497,9.53091584469701,0.297130920403691,"region_taxagroup"
"10",27,560.0073245518,0,0.311336959565555,"all_fishtype"
"11",33,566.11555318045,6.10822862865018,0.308922635641567,"all_taxagroup"
