"","df","AIC","deltaAIC","R2","ModelName"
"1",3,655.636619195026,69.7361623730782,-0.0038551594043319,"M"
"2",18,598.506135713796,12.6056788918477,0.242564357675021,"region"
"3",9,640.020602443756,54.1201456218081,0.0776026440293411,"fishtype"
"4",15,865.284599456368,279.38414263442,0.0562381346338447,"taxagroup"
"5",10,639.192143206723,53.2916863847751,0.0840939796094982,"region_M"
"6",25,585.900456821948,0,0.297129518448407,"fishtype_M"
"7",16,861.744506287355,275.844049465407,0.0727364271218944,"taxagroup_M"
"8",25,818.04128131226,232.140824490312,0.24426104837319,"region_fishtype"
"9",31,823.776948631239,237.876491809291,0.242921804668443,"region_taxagroup"
"10",26,812.451456999959,226.551000178011,0.263306359116588,"all_fishtype"
"11",32,819.543712066245,233.643255244297,0.25796194908913,"all_taxagroup"
